range_label,range_min,range_max,source_file,fault_type,requested_k,effective_k,candidate_nets,feasible_fault_sites,capped,output_file
1000-2000,1000,2000,bar.v,glitch,1976,1976,2831,2831,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1976_bar.v
1000-2000,1000,2000,bar.v,bridging,1976,1976,2831,4005865,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1976_bar.v
100-500,100,500,c1355.v,stuck_at,406,406,559,559,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k406_c1355.v
100-500,100,500,c1355.v,glitch,406,406,559,559,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k406_c1355.v
100-500,100,500,c1355.v,bridging,406,406,559,155961,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k406_c1355.v
500-1000,500,1000,c1355.v,stuck_at,889,559,559,559,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k889_c1355.v
500-1000,500,1000,c1355.v,glitch,889,559,559,559,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k889_c1355.v
500-1000,500,1000,c1355.v,bridging,889,889,559,155961,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k889_c1355.v
1000-2000,1000,2000,c1355.v,stuck_at,1579,559,559,559,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1579_c1355.v
1000-2000,1000,2000,c1355.v,glitch,1579,559,559,559,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1579_c1355.v
1000-2000,1000,2000,c1355.v,bridging,1579,1579,559,155961,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1579_c1355.v
100-500,100,500,c17.v,stuck_at,383,11,11,11,1,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k383_c17.v
100-500,100,500,c17.v,glitch,383,11,11,11,1,fault_injection_fig_faultsweep/100-500/glitch/glitch_k383_c17.v
100-500,100,500,c17.v,bridging,383,55,11,55,1,fault_injection_fig_faultsweep/100-500/bridging/bridging_k383_c17.v
500-1000,500,1000,c17.v,stuck_at,614,11,11,11,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k614_c17.v
500-1000,500,1000,c17.v,glitch,614,11,11,11,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k614_c17.v
500-1000,500,1000,c17.v,bridging,614,55,11,55,1,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k614_c17.v
1000-2000,1000,2000,c17.v,stuck_at,1372,11,11,11,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1372_c17.v
1000-2000,1000,2000,c17.v,glitch,1372,11,11,11,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1372_c17.v
1000-2000,1000,2000,c17.v,bridging,1372,55,11,55,1,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1372_c17.v
100-500,100,500,c1908.v,stuck_at,273,273,512,512,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k273_c1908.v
100-500,100,500,c1908.v,glitch,273,273,512,512,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k273_c1908.v
100-500,100,500,c1908.v,bridging,273,273,512,130816,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k273_c1908.v
500-1000,500,1000,c1908.v,stuck_at,531,512,512,512,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k531_c1908.v
500-1000,500,1000,c1908.v,glitch,531,512,512,512,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k531_c1908.v
500-1000,500,1000,c1908.v,bridging,531,531,512,130816,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k531_c1908.v
1000-2000,1000,2000,c1908.v,stuck_at,1461,512,512,512,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1461_c1908.v
1000-2000,1000,2000,c1908.v,glitch,1461,512,512,512,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1461_c1908.v
1000-2000,1000,2000,c1908.v,bridging,1461,1461,512,130816,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1461_c1908.v
100-500,100,500,c2670.v,stuck_at,231,231,1022,1022,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k231_c2670.v
100-500,100,500,c2670.v,glitch,231,231,1022,1022,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k231_c2670.v
100-500,100,500,c2670.v,bridging,231,231,1022,521731,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k231_c2670.v
500-1000,500,1000,c2670.v,stuck_at,520,520,1022,1022,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k520_c2670.v
500-1000,500,1000,c2670.v,glitch,520,520,1022,1022,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k520_c2670.v
500-1000,500,1000,c2670.v,bridging,520,520,1022,521731,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k520_c2670.v
1000-2000,1000,2000,c2670.v,stuck_at,1369,1022,1022,1022,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1369_c2670.v
1000-2000,1000,2000,c2670.v,glitch,1369,1022,1022,1022,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1369_c2670.v
1000-2000,1000,2000,c2670.v,bridging,1369,1369,1022,521731,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1369_c2670.v
100-500,100,500,c3540.v,stuck_at,452,452,1093,1093,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k452_c3540.v
100-500,100,500,c3540.v,glitch,452,452,1093,1093,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k452_c3540.v
100-500,100,500,c3540.v,bridging,452,452,1093,596778,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k452_c3540.v
500-1000,500,1000,c3540.v,stuck_at,542,542,1093,1093,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k542_c3540.v
500-1000,500,1000,c3540.v,glitch,542,542,1093,1093,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k542_c3540.v
500-1000,500,1000,c3540.v,bridging,542,542,1093,596778,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k542_c3540.v
1000-2000,1000,2000,c3540.v,stuck_at,1151,1093,1093,1093,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1151_c3540.v
1000-2000,1000,2000,c3540.v,glitch,1151,1093,1093,1093,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1151_c3540.v
1000-2000,1000,2000,c3540.v,bridging,1151,1151,1093,596778,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1151_c3540.v
100-500,100,500,c432.v,stuck_at,236,207,207,207,1,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k236_c432.v
100-500,100,500,c432.v,glitch,236,207,207,207,1,fault_injection_fig_faultsweep/100-500/glitch/glitch_k236_c432.v
100-500,100,500,c432.v,bridging,236,236,207,21321,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k236_c432.v
500-1000,500,1000,c432.v,stuck_at,682,207,207,207,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k682_c432.v
500-1000,500,1000,c432.v,glitch,682,207,207,207,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k682_c432.v
500-1000,500,1000,c432.v,bridging,682,682,207,21321,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k682_c432.v
1000-2000,1000,2000,c432.v,stuck_at,1211,207,207,207,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1211_c432.v
1000-2000,1000,2000,c432.v,glitch,1211,207,207,207,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1211_c432.v
1000-2000,1000,2000,c432.v,bridging,1211,1211,207,21321,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1211_c432.v
100-500,100,500,c499.v,stuck_at,452,215,215,215,1,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k452_c499.v
100-500,100,500,c499.v,glitch,452,215,215,215,1,fault_injection_fig_faultsweep/100-500/glitch/glitch_k452_c499.v
100-500,100,500,c499.v,bridging,452,452,215,23005,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k452_c499.v
500-1000,500,1000,c499.v,stuck_at,545,215,215,215,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k545_c499.v
500-1000,500,1000,c499.v,glitch,545,215,215,215,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k545_c499.v
500-1000,500,1000,c499.v,bridging,545,545,215,23005,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k545_c499.v
1000-2000,1000,2000,c499.v,stuck_at,1360,215,215,215,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1360_c499.v
1000-2000,1000,2000,c499.v,glitch,1360,215,215,215,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1360_c499.v
1000-2000,1000,2000,c499.v,bridging,1360,1360,215,23005,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1360_c499.v
100-500,100,500,c5315.v,stuck_at,409,409,1783,1783,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k409_c5315.v
100-500,100,500,c5315.v,glitch,409,409,1783,1783,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k409_c5315.v
100-500,100,500,c5315.v,bridging,409,409,1783,1588653,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k409_c5315.v
500-1000,500,1000,c5315.v,stuck_at,726,726,1783,1783,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k726_c5315.v
500-1000,500,1000,c5315.v,glitch,726,726,1783,1783,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k726_c5315.v
500-1000,500,1000,c5315.v,bridging,726,726,1783,1588653,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k726_c5315.v
1000-2000,1000,2000,c5315.v,stuck_at,1651,1651,1783,1783,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1651_c5315.v
1000-2000,1000,2000,c5315.v,glitch,1651,1651,1783,1783,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1651_c5315.v
1000-2000,1000,2000,c5315.v,bridging,1651,1651,1783,1588653,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1651_c5315.v
100-500,100,500,c6288.v,stuck_at,384,384,2385,2385,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k384_c6288.v
100-500,100,500,c6288.v,glitch,384,384,2385,2385,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k384_c6288.v
100-500,100,500,c6288.v,bridging,384,384,2385,2842920,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k384_c6288.v
500-1000,500,1000,c6288.v,stuck_at,932,932,2385,2385,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k932_c6288.v
500-1000,500,1000,c6288.v,glitch,932,932,2385,2385,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k932_c6288.v
500-1000,500,1000,c6288.v,bridging,932,932,2385,2842920,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k932_c6288.v
1000-2000,1000,2000,c6288.v,stuck_at,1166,1166,2385,2385,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1166_c6288.v
1000-2000,1000,2000,c6288.v,glitch,1166,1166,2385,2385,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1166_c6288.v
1000-2000,1000,2000,c6288.v,bridging,1166,1166,2385,2842920,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1166_c6288.v
100-500,100,500,c7552.v,stuck_at,190,190,2588,2588,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k190_c7552.v
100-500,100,500,c7552.v,glitch,190,190,2588,2588,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k190_c7552.v
100-500,100,500,c7552.v,bridging,190,190,2588,3347578,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k190_c7552.v
500-1000,500,1000,c7552.v,stuck_at,903,903,2588,2588,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k903_c7552.v
500-1000,500,1000,c7552.v,glitch,903,903,2588,2588,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k903_c7552.v
500-1000,500,1000,c7552.v,bridging,903,903,2588,3347578,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k903_c7552.v
1000-2000,1000,2000,c7552.v,stuck_at,1705,1705,2588,2588,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1705_c7552.v
1000-2000,1000,2000,c7552.v,glitch,1705,1705,2588,2588,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1705_c7552.v
1000-2000,1000,2000,c7552.v,bridging,1705,1705,2588,3347578,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1705_c7552.v
100-500,100,500,c880.v,stuck_at,196,196,383,383,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k196_c880.v
100-500,100,500,c880.v,glitch,196,196,383,383,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k196_c880.v
100-500,100,500,c880.v,bridging,196,196,383,73153,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k196_c880.v
500-1000,500,1000,c880.v,stuck_at,770,383,383,383,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k770_c880.v
500-1000,500,1000,c880.v,glitch,770,383,383,383,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k770_c880.v
500-1000,500,1000,c880.v,bridging,770,770,383,73153,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k770_c880.v
1000-2000,1000,2000,c880.v,stuck_at,1950,383,383,383,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1950_c880.v
1000-2000,1000,2000,c880.v,glitch,1950,383,383,383,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1950_c880.v
1000-2000,1000,2000,c880.v,bridging,1950,1950,383,73153,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1950_c880.v
100-500,100,500,cavlc.v,stuck_at,127,127,1230,1230,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k127_cavlc.v
100-500,100,500,cavlc.v,glitch,127,127,1230,1230,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k127_cavlc.v
100-500,100,500,cavlc.v,bridging,127,127,1230,755835,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k127_cavlc.v
500-1000,500,1000,cavlc.v,stuck_at,652,652,1230,1230,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k652_cavlc.v
500-1000,500,1000,cavlc.v,glitch,652,652,1230,1230,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k652_cavlc.v
500-1000,500,1000,cavlc.v,bridging,652,652,1230,755835,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k652_cavlc.v
1000-2000,1000,2000,cavlc.v,stuck_at,1687,1230,1230,1230,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1687_cavlc.v
1000-2000,1000,2000,cavlc.v,glitch,1687,1230,1230,1230,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1687_cavlc.v
1000-2000,1000,2000,cavlc.v,bridging,1687,1687,1230,755835,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1687_cavlc.v
100-500,100,500,ctrl.v,stuck_at,403,296,296,296,1,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k403_ctrl.v
100-500,100,500,ctrl.v,glitch,403,296,296,296,1,fault_injection_fig_faultsweep/100-500/glitch/glitch_k403_ctrl.v
100-500,100,500,ctrl.v,bridging,403,403,296,43660,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k403_ctrl.v
500-1000,500,1000,ctrl.v,stuck_at,559,296,296,296,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k559_ctrl.v
500-1000,500,1000,ctrl.v,glitch,559,296,296,296,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k559_ctrl.v
500-1000,500,1000,ctrl.v,bridging,559,559,296,43660,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k559_ctrl.v
1000-2000,1000,2000,ctrl.v,stuck_at,1168,296,296,296,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1168_ctrl.v
1000-2000,1000,2000,ctrl.v,glitch,1168,296,296,296,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1168_ctrl.v
1000-2000,1000,2000,ctrl.v,bridging,1168,1168,296,43660,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1168_ctrl.v
100-500,100,500,dec.v,stuck_at,431,56,56,56,1,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k431_dec.v
100-500,100,500,dec.v,glitch,431,56,56,56,1,fault_injection_fig_faultsweep/100-500/glitch/glitch_k431_dec.v
100-500,100,500,dec.v,bridging,431,431,56,1540,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k431_dec.v
500-1000,500,1000,dec.v,stuck_at,642,56,56,56,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k642_dec.v
500-1000,500,1000,dec.v,glitch,642,56,56,56,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k642_dec.v
500-1000,500,1000,dec.v,bridging,642,642,56,1540,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k642_dec.v
1000-2000,1000,2000,dec.v,stuck_at,1749,56,56,56,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1749_dec.v
1000-2000,1000,2000,dec.v,glitch,1749,56,56,56,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1749_dec.v
1000-2000,1000,2000,dec.v,bridging,1749,1540,56,1540,1,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1749_dec.v
100-500,100,500,div.v,stuck_at,494,494,100857,100857,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k494_div.v
100-500,100,500,div.v,glitch,494,494,100857,100857,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k494_div.v
100-500,100,500,div.v,bridging,494,494,100857,5086016796,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k494_div.v
500-1000,500,1000,div.v,stuck_at,827,827,100857,100857,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k827_div.v
500-1000,500,1000,div.v,glitch,827,827,100857,100857,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k827_div.v
500-1000,500,1000,div.v,bridging,827,827,100857,5086016796,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k827_div.v
1000-2000,1000,2000,div.v,stuck_at,1347,1347,100857,100857,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1347_div.v
1000-2000,1000,2000,div.v,glitch,1347,1347,100857,100857,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1347_div.v
1000-2000,1000,2000,div.v,bridging,1347,1347,100857,5086016796,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1347_div.v
100-500,100,500,i2c.v,stuck_at,305,305,2184,2184,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k305_i2c.v
100-500,100,500,i2c.v,glitch,305,305,2184,2184,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k305_i2c.v
100-500,100,500,i2c.v,bridging,305,305,2184,2383836,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k305_i2c.v
500-1000,500,1000,i2c.v,stuck_at,505,505,2184,2184,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k505_i2c.v
500-1000,500,1000,i2c.v,glitch,505,505,2184,2184,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k505_i2c.v
500-1000,500,1000,i2c.v,bridging,505,505,2184,2383836,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k505_i2c.v
1000-2000,1000,2000,i2c.v,stuck_at,1320,1320,2184,2184,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1320_i2c.v
1000-2000,1000,2000,i2c.v,glitch,1320,1320,2184,2184,0,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1320_i2c.v
1000-2000,1000,2000,i2c.v,bridging,1320,1320,2184,2383836,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1320_i2c.v
100-500,100,500,int2float.v,stuck_at,359,359,400,400,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k359_int2float.v
100-500,100,500,int2float.v,glitch,359,359,400,400,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k359_int2float.v
100-500,100,500,int2float.v,bridging,359,359,400,79800,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k359_int2float.v
500-1000,500,1000,int2float.v,stuck_at,813,400,400,400,1,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k813_int2float.v
500-1000,500,1000,int2float.v,glitch,813,400,400,400,1,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k813_int2float.v
500-1000,500,1000,int2float.v,bridging,813,813,400,79800,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k813_int2float.v
1000-2000,1000,2000,int2float.v,stuck_at,1523,400,400,400,1,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1523_int2float.v
1000-2000,1000,2000,int2float.v,glitch,1523,400,400,400,1,fault_injection_fig_faultsweep/1000-2000/glitch/glitch_k1523_int2float.v
1000-2000,1000,2000,int2float.v,bridging,1523,1523,400,79800,0,fault_injection_fig_faultsweep/1000-2000/bridging/bridging_k1523_int2float.v
100-500,100,500,log2.v,stuck_at,453,453,46714,46714,0,fault_injection_fig_faultsweep/100-500/stuck_at/stuck_at_k453_log2.v
100-500,100,500,log2.v,glitch,453,453,46714,46714,0,fault_injection_fig_faultsweep/100-500/glitch/glitch_k453_log2.v
100-500,100,500,log2.v,bridging,453,453,46714,1091075541,0,fault_injection_fig_faultsweep/100-500/bridging/bridging_k453_log2.v
500-1000,500,1000,log2.v,stuck_at,832,832,46714,46714,0,fault_injection_fig_faultsweep/500-1000/stuck_at/stuck_at_k832_log2.v
500-1000,500,1000,log2.v,glitch,832,832,46714,46714,0,fault_injection_fig_faultsweep/500-1000/glitch/glitch_k832_log2.v
500-1000,500,1000,log2.v,bridging,832,832,46714,1091075541,0,fault_injection_fig_faultsweep/500-1000/bridging/bridging_k832_log2.v
1000-2000,1000,2000,log2.v,stuck_at,1842,1842,46714,46714,0,fault_injection_fig_faultsweep/1000-2000/stuck_at/stuck_at_k1842_log2.v
