range_label,range_min,range_max,netlist_file,netlist_file_norm,fault_type,bridging,clean,glitch,stuck_at,total_nodes
100-500,100,500,multiplier.v,multiplier.v,bridging,244,42974,0,0,43218
100-500,100,500,multiplier.v,multiplier.v,clean,0,42974,0,0,42974
100-500,100,500,multiplier.v,multiplier.v,glitch,0,42974,244,0,43218
100-500,100,500,multiplier.v,multiplier.v,stuck_at,0,42974,0,244,43218
100-500,100,500,router.v,router.v,bridging,187,365,0,0,552
100-500,100,500,router.v,router.v,clean,0,365,0,0,365
100-500,100,500,router.v,router.v,glitch,0,365,187,0,552
100-500,100,500,router.v,router.v,stuck_at,0,365,0,187,552
100-500,100,500,sin.v,sin.v,bridging,146,7655,0,0,7801
100-500,100,500,sin.v,sin.v,clean,0,7655,0,0,7655
100-500,100,500,sin.v,sin.v,glitch,0,7655,146,0,7801
100-500,100,500,sin.v,sin.v,stuck_at,0,7655,0,146,7801
100-500,100,500,sqrt.v,sqrt.v,bridging,261,36797,0,0,37058
100-500,100,500,sqrt.v,sqrt.v,clean,0,36797,0,0,36797
100-500,100,500,sqrt.v,sqrt.v,glitch,0,36797,261,0,37058
100-500,100,500,sqrt.v,sqrt.v,stuck_at,0,36797,0,261,37058
100-500,100,500,square.v,square.v,bridging,150,35262,0,0,35412
100-500,100,500,square.v,square.v,clean,0,35262,0,0,35262
100-500,100,500,square.v,square.v,glitch,0,35262,150,0,35412
100-500,100,500,square.v,square.v,stuck_at,0,35262,0,150,35412
100-500,100,500,voter.v,voter.v,bridging,156,25993,0,0,26149
100-500,100,500,voter.v,voter.v,clean,0,25993,0,0,25993
100-500,100,500,voter.v,voter.v,glitch,0,25993,156,0,26149
100-500,100,500,voter.v,voter.v,stuck_at,0,25993,0,156,26149
1000-2000,1000,2000,Priority.v,Priority.v,bridging,1498,1816,0,0,3314
1000-2000,1000,2000,Priority.v,Priority.v,clean,0,1816,0,0,1816
1000-2000,1000,2000,Priority.v,Priority.v,glitch,0,1816,1498,0,3314
1000-2000,1000,2000,Priority.v,Priority.v,stuck_at,0,1816,0,1498,3314
1000-2000,1000,2000,adder.v,adder.v,bridging,1961,2162,0,0,4123
1000-2000,1000,2000,adder.v,adder.v,clean,0,2162,0,0,2162
1000-2000,1000,2000,adder.v,adder.v,glitch,0,2162,1961,0,4123
1000-2000,1000,2000,adder.v,adder.v,stuck_at,0,2162,0,1961,4123
1000-2000,1000,2000,arbiter.v,arbiter.v,bridging,1284,23189,0,0,24473
1000-2000,1000,2000,arbiter.v,arbiter.v,clean,0,23189,0,0,23189
1000-2000,1000,2000,arbiter.v,arbiter.v,glitch,0,23189,1284,0,24473
1000-2000,1000,2000,arbiter.v,arbiter.v,stuck_at,0,23189,0,1284,24473
1000-2000,1000,2000,bar.v,bar.v,bridging,1976,2959,0,0,4935
1000-2000,1000,2000,bar.v,bar.v,clean,0,2959,0,0,2959
1000-2000,1000,2000,bar.v,bar.v,glitch,0,2959,1976,0,4935
1000-2000,1000,2000,bar.v,bar.v,stuck_at,0,2959,0,1976,4935
1000-2000,1000,2000,c1355.v,c1355.v,bridging,1579,518,0,0,2097
1000-2000,1000,2000,c1355.v,c1355.v,clean,0,518,0,0,518
1000-2000,1000,2000,c1355.v,c1355.v,glitch,0,518,559,0,1077
1000-2000,1000,2000,c1355.v,c1355.v,stuck_at,0,518,0,559,1077
1000-2000,1000,2000,c17.v,c17.v,bridging,55,6,0,0,61
1000-2000,1000,2000,c17.v,c17.v,clean,0,6,0,0,6
1000-2000,1000,2000,c17.v,c17.v,glitch,0,6,11,0,17
1000-2000,1000,2000,c17.v,c17.v,stuck_at,0,6,0,11,17
1000-2000,1000,2000,c1908.v,c1908.v,bridging,1461,479,0,0,1940
1000-2000,1000,2000,c1908.v,c1908.v,clean,0,479,0,0,479
1000-2000,1000,2000,c1908.v,c1908.v,glitch,0,479,512,0,991
1000-2000,1000,2000,c1908.v,c1908.v,stuck_at,0,479,0,512,991
1000-2000,1000,2000,c2670.v,c2670.v,bridging,1369,699,0,0,2068
1000-2000,1000,2000,c2670.v,c2670.v,clean,0,699,0,0,699
1000-2000,1000,2000,c2670.v,c2670.v,glitch,0,699,1022,0,1721
1000-2000,1000,2000,c2670.v,c2670.v,stuck_at,0,699,0,1022,1721
1000-2000,1000,2000,c3540.v,c3540.v,bridging,1151,1043,0,0,2194
1000-2000,1000,2000,c3540.v,c3540.v,clean,0,1043,0,0,1043
1000-2000,1000,2000,c3540.v,c3540.v,glitch,0,1043,1093,0,2136
1000-2000,1000,2000,c3540.v,c3540.v,stuck_at,0,1043,0,1093,2136
1000-2000,1000,2000,c432.v,c432.v,bridging,1211,171,0,0,1382
1000-2000,1000,2000,c432.v,c432.v,clean,0,171,0,0,171
1000-2000,1000,2000,c432.v,c432.v,glitch,0,171,207,0,378
1000-2000,1000,2000,c432.v,c432.v,stuck_at,0,171,0,207,378
1000-2000,1000,2000,c499.v,c499.v,bridging,1360,174,0,0,1534
1000-2000,1000,2000,c499.v,c499.v,clean,0,174,0,0,174
1000-2000,1000,2000,c499.v,c499.v,glitch,0,174,215,0,389
1000-2000,1000,2000,c499.v,c499.v,stuck_at,0,174,0,215,389
1000-2000,1000,2000,c5315.v,c5315.v,bridging,1651,1586,0,0,3237
1000-2000,1000,2000,c5315.v,c5315.v,clean,0,1586,0,0,1586
1000-2000,1000,2000,c5315.v,c5315.v,glitch,0,1586,1651,0,3237
1000-2000,1000,2000,c5315.v,c5315.v,stuck_at,0,1586,0,1651,3237
1000-2000,1000,2000,c6288.v,c6288.v,bridging,1166,2353,0,0,3519
1000-2000,1000,2000,c6288.v,c6288.v,clean,0,2353,0,0,2353
1000-2000,1000,2000,c6288.v,c6288.v,glitch,0,2353,1166,0,3519
1000-2000,1000,2000,c6288.v,c6288.v,stuck_at,0,2353,0,1166,3519
1000-2000,1000,2000,c7552.v,c7552.v,bridging,1705,2331,0,0,4036
1000-2000,1000,2000,c7552.v,c7552.v,clean,0,2331,0,0,2331
1000-2000,1000,2000,c7552.v,c7552.v,glitch,0,2331,1705,0,4036
1000-2000,1000,2000,c7552.v,c7552.v,stuck_at,0,2331,0,1705,4036
1000-2000,1000,2000,c880.v,c880.v,bridging,1950,323,0,0,2273
1000-2000,1000,2000,c880.v,c880.v,clean,0,323,0,0,323
1000-2000,1000,2000,c880.v,c880.v,glitch,0,323,383,0,706
1000-2000,1000,2000,c880.v,c880.v,stuck_at,0,323,0,383,706
1000-2000,1000,2000,cavlc.v,cavlc.v,bridging,1687,1241,0,0,2928
1000-2000,1000,2000,cavlc.v,cavlc.v,clean,0,1241,0,0,1241
1000-2000,1000,2000,cavlc.v,cavlc.v,glitch,0,1241,1230,0,2471
1000-2000,1000,2000,cavlc.v,cavlc.v,stuck_at,0,1241,0,1230,2471
1000-2000,1000,2000,ctrl.v,ctrl.v,bridging,1168,306,0,0,1474
1000-2000,1000,2000,ctrl.v,ctrl.v,clean,0,306,0,0,306
1000-2000,1000,2000,ctrl.v,ctrl.v,glitch,0,306,296,0,602
1000-2000,1000,2000,ctrl.v,ctrl.v,stuck_at,0,306,0,296,602
1000-2000,1000,2000,dec.v,dec.v,bridging,1540,312,0,0,1852
1000-2000,1000,2000,dec.v,dec.v,clean,0,312,0,0,312
1000-2000,1000,2000,dec.v,dec.v,glitch,0,312,56,0,368
1000-2000,1000,2000,dec.v,dec.v,stuck_at,0,312,0,56,368
1000-2000,1000,2000,div.v,div.v,bridging,1347,100985,0,0,102332
1000-2000,1000,2000,div.v,div.v,clean,0,100985,0,0,100985
1000-2000,1000,2000,div.v,div.v,glitch,0,100985,1347,0,102332
1000-2000,1000,2000,div.v,div.v,stuck_at,0,100985,0,1347,102332
1000-2000,1000,2000,i2c.v,i2c.v,bridging,1320,2022,0,0,3342
1000-2000,1000,2000,i2c.v,i2c.v,clean,0,2022,0,0,2022
1000-2000,1000,2000,i2c.v,i2c.v,glitch,0,2022,1320,0,3342
1000-2000,1000,2000,i2c.v,i2c.v,stuck_at,0,2022,0,1320,3342
1000-2000,1000,2000,int2float.v,int2float.v,bridging,1523,407,0,0,1930
1000-2000,1000,2000,int2float.v,int2float.v,clean,0,407,0,0,407
1000-2000,1000,2000,int2float.v,int2float.v,glitch,0,407,400,0,807
1000-2000,1000,2000,int2float.v,int2float.v,stuck_at,0,407,0,400,807
1000-2000,1000,2000,log2.v,log2.v,bridging,1842,46746,0,0,48588
1000-2000,1000,2000,log2.v,log2.v,clean,0,46746,0,0,46746
1000-2000,1000,2000,log2.v,log2.v,glitch,0,46746,1842,0,48588
1000-2000,1000,2000,log2.v,log2.v,stuck_at,0,46746,0,1842,48588
1000-2000,1000,2000,max.v,max.v,bridging,1566,5063,0,0,6629
1000-2000,1000,2000,max.v,max.v,clean,0,5063,0,0,5063
1000-2000,1000,2000,max.v,max.v,glitch,0,5063,1566,0,6629
1000-2000,1000,2000,max.v,max.v,stuck_at,0,5063,0,1566,6629
1000-2000,1000,2000,memctrl.v,memctrl.v,bridging,1572,81353,0,0,82925
1000-2000,1000,2000,memctrl.v,memctrl.v,clean,0,81353,0,0,81353
1000-2000,1000,2000,memctrl.v,memctrl.v,glitch,0,81353,1572,0,82925
1000-2000,1000,2000,memctrl.v,memctrl.v,stuck_at,0,81353,0,1572,82925
1000-2000,1000,2000,multiplier.v,multiplier.v,bridging,1314,42974,0,0,44288
1000-2000,1000,2000,multiplier.v,multiplier.v,clean,0,42974,0,0,42974
1000-2000,1000,2000,multiplier.v,multiplier.v,glitch,0,42974,1314,0,44288
1000-2000,1000,2000,multiplier.v,multiplier.v,stuck_at,0,42974,0,1314,44288
1000-2000,1000,2000,router.v,router.v,bridging,1172,365,0,0,1537
1000-2000,1000,2000,router.v,router.v,clean,0,365,0,0,365
1000-2000,1000,2000,router.v,router.v,glitch,0,365,362,0,727
1000-2000,1000,2000,router.v,router.v,stuck_at,0,365,0,362,727
1000-2000,1000,2000,sin.v,sin.v,bridging,1224,7655,0,0,8879
1000-2000,1000,2000,sin.v,sin.v,clean,0,7655,0,0,7655
1000-2000,1000,2000,sin.v,sin.v,glitch,0,7655,1224,0,8879
1000-2000,1000,2000,sin.v,sin.v,stuck_at,0,7655,0,1224,8879
1000-2000,1000,2000,sqrt.v,sqrt.v,bridging,1711,36797,0,0,38508
1000-2000,1000,2000,sqrt.v,sqrt.v,clean,0,36797,0,0,36797
1000-2000,1000,2000,sqrt.v,sqrt.v,glitch,0,36797,1711,0,38508
1000-2000,1000,2000,sqrt.v,sqrt.v,stuck_at,0,36797,0,1711,38508
1000-2000,1000,2000,square.v,square.v,bridging,1334,35262,0,0,36596
1000-2000,1000,2000,square.v,square.v,clean,0,35262,0,0,35262
1000-2000,1000,2000,square.v,square.v,glitch,0,35262,1334,0,36596
1000-2000,1000,2000,square.v,square.v,stuck_at,0,35262,0,1334,36596
1000-2000,1000,2000,voter.v,voter.v,bridging,1470,25993,0,0,27463
1000-2000,1000,2000,voter.v,voter.v,clean,0,25993,0,0,25993
1000-2000,1000,2000,voter.v,voter.v,glitch,0,25993,1470,0,27463
1000-2000,1000,2000,voter.v,voter.v,stuck_at,0,25993,0,1470,27463
500-1000,500,1000,Priority.v,Priority.v,bridging,723,1816,0,0,2539
500-1000,500,1000,Priority.v,Priority.v,clean,0,1816,0,0,1816
500-1000,500,1000,Priority.v,Priority.v,glitch,0,1816,723,0,2539
500-1000,500,1000,Priority.v,Priority.v,stuck_at,0,1816,0,723,2539
500-1000,500,1000,adder.v,adder.v,bridging,994,2162,0,0,3156
500-1000,500,1000,adder.v,adder.v,clean,0,2162,0,0,2162
500-1000,500,1000,adder.v,adder.v,glitch,0,2162,994,0,3156
500-1000,500,1000,adder.v,adder.v,stuck_at,0,2162,0,994,3156
500-1000,500,1000,arbiter.v,arbiter.v,bridging,571,23189,0,0,23760
500-1000,500,1000,arbiter.v,arbiter.v,clean,0,23189,0,0,23189
500-1000,500,1000,arbiter.v,arbiter.v,glitch,0,23189,571,0,23760
500-1000,500,1000,arbiter.v,arbiter.v,stuck_at,0,23189,0,571,23760
500-1000,500,1000,bar.v,bar.v,bridging,767,2959,0,0,3726
500-1000,500,1000,bar.v,bar.v,clean,0,2959,0,0,2959
500-1000,500,1000,bar.v,bar.v,glitch,0,2959,767,0,3726
500-1000,500,1000,bar.v,bar.v,stuck_at,0,2959,0,767,3726
500-1000,500,1000,c1355.v,c1355.v,bridging,889,518,0,0,1407
500-1000,500,1000,c1355.v,c1355.v,clean,0,518,0,0,518
500-1000,500,1000,c1355.v,c1355.v,glitch,0,518,559,0,1077
500-1000,500,1000,c1355.v,c1355.v,stuck_at,0,518,0,559,1077
500-1000,500,1000,c17.v,c17.v,bridging,55,6,0,0,61
500-1000,500,1000,c17.v,c17.v,clean,0,6,0,0,6
500-1000,500,1000,c17.v,c17.v,glitch,0,6,11,0,17
500-1000,500,1000,c17.v,c17.v,stuck_at,0,6,0,11,17
500-1000,500,1000,c1908.v,c1908.v,bridging,531,479,0,0,1010
500-1000,500,1000,c1908.v,c1908.v,clean,0,479,0,0,479
500-1000,500,1000,c1908.v,c1908.v,glitch,0,479,512,0,991
500-1000,500,1000,c1908.v,c1908.v,stuck_at,0,479,0,512,991
500-1000,500,1000,c2670.v,c2670.v,bridging,520,699,0,0,1219
500-1000,500,1000,c2670.v,c2670.v,clean,0,699,0,0,699
500-1000,500,1000,c2670.v,c2670.v,glitch,0,699,520,0,1219
500-1000,500,1000,c2670.v,c2670.v,stuck_at,0,699,0,520,1219
500-1000,500,1000,c3540.v,c3540.v,bridging,542,1043,0,0,1585
500-1000,500,1000,c3540.v,c3540.v,clean,0,1043,0,0,1043
500-1000,500,1000,c3540.v,c3540.v,glitch,0,1043,542,0,1585
500-1000,500,1000,c3540.v,c3540.v,stuck_at,0,1043,0,542,1585
500-1000,500,1000,c432.v,c432.v,bridging,682,171,0,0,853
500-1000,500,1000,c432.v,c432.v,clean,0,171,0,0,171
500-1000,500,1000,c432.v,c432.v,glitch,0,171,207,0,378
500-1000,500,1000,c432.v,c432.v,stuck_at,0,171,0,207,378
500-1000,500,1000,c499.v,c499.v,bridging,545,174,0,0,719
500-1000,500,1000,c499.v,c499.v,clean,0,174,0,0,174
500-1000,500,1000,c499.v,c499.v,glitch,0,174,215,0,389
500-1000,500,1000,c499.v,c499.v,stuck_at,0,174,0,215,389
500-1000,500,1000,c5315.v,c5315.v,bridging,726,1586,0,0,2312
500-1000,500,1000,c5315.v,c5315.v,clean,0,1586,0,0,1586
500-1000,500,1000,c5315.v,c5315.v,glitch,0,1586,726,0,2312
500-1000,500,1000,c5315.v,c5315.v,stuck_at,0,1586,0,726,2312
500-1000,500,1000,c6288.v,c6288.v,bridging,932,2353,0,0,3285
500-1000,500,1000,c6288.v,c6288.v,clean,0,2353,0,0,2353
500-1000,500,1000,c6288.v,c6288.v,glitch,0,2353,932,0,3285
500-1000,500,1000,c6288.v,c6288.v,stuck_at,0,2353,0,932,3285
500-1000,500,1000,c7552.v,c7552.v,bridging,903,2331,0,0,3234
500-1000,500,1000,c7552.v,c7552.v,clean,0,2331,0,0,2331
500-1000,500,1000,c7552.v,c7552.v,glitch,0,2331,903,0,3234
500-1000,500,1000,c7552.v,c7552.v,stuck_at,0,2331,0,903,3234
500-1000,500,1000,c880.v,c880.v,bridging,770,323,0,0,1093
500-1000,500,1000,c880.v,c880.v,clean,0,323,0,0,323
500-1000,500,1000,c880.v,c880.v,glitch,0,323,383,0,706
500-1000,500,1000,c880.v,c880.v,stuck_at,0,323,0,383,706
500-1000,500,1000,cavlc.v,cavlc.v,bridging,652,1241,0,0,1893
500-1000,500,1000,cavlc.v,cavlc.v,clean,0,1241,0,0,1241
500-1000,500,1000,cavlc.v,cavlc.v,glitch,0,1241,652,0,1893
500-1000,500,1000,cavlc.v,cavlc.v,stuck_at,0,1241,0,652,1893
500-1000,500,1000,ctrl.v,ctrl.v,bridging,559,306,0,0,865
500-1000,500,1000,ctrl.v,ctrl.v,clean,0,306,0,0,306
500-1000,500,1000,ctrl.v,ctrl.v,glitch,0,306,296,0,602
500-1000,500,1000,ctrl.v,ctrl.v,stuck_at,0,306,0,296,602
500-1000,500,1000,dec.v,dec.v,bridging,642,312,0,0,954
500-1000,500,1000,dec.v,dec.v,clean,0,312,0,0,312
500-1000,500,1000,dec.v,dec.v,glitch,0,312,56,0,368
500-1000,500,1000,dec.v,dec.v,stuck_at,0,312,0,56,368
500-1000,500,1000,div.v,div.v,bridging,827,100985,0,0,101812
500-1000,500,1000,div.v,div.v,clean,0,100985,0,0,100985
500-1000,500,1000,div.v,div.v,glitch,0,100985,827,0,101812
500-1000,500,1000,div.v,div.v,stuck_at,0,100985,0,827,101812
500-1000,500,1000,i2c.v,i2c.v,bridging,505,2022,0,0,2527
500-1000,500,1000,i2c.v,i2c.v,clean,0,2022,0,0,2022
500-1000,500,1000,i2c.v,i2c.v,glitch,0,2022,505,0,2527
500-1000,500,1000,i2c.v,i2c.v,stuck_at,0,2022,0,505,2527
500-1000,500,1000,int2float.v,int2float.v,bridging,813,407,0,0,1220
500-1000,500,1000,int2float.v,int2float.v,clean,0,407,0,0,407
500-1000,500,1000,int2float.v,int2float.v,glitch,0,407,400,0,807
500-1000,500,1000,int2float.v,int2float.v,stuck_at,0,407,0,400,807
500-1000,500,1000,log2.v,log2.v,bridging,832,46746,0,0,47578
500-1000,500,1000,log2.v,log2.v,clean,0,46746,0,0,46746
500-1000,500,1000,log2.v,log2.v,glitch,0,46746,832,0,47578
500-1000,500,1000,log2.v,log2.v,stuck_at,0,46746,0,832,47578
500-1000,500,1000,max.v,max.v,bridging,701,5063,0,0,5764
500-1000,500,1000,max.v,max.v,clean,0,5063,0,0,5063
500-1000,500,1000,max.v,max.v,glitch,0,5063,701,0,5764
500-1000,500,1000,max.v,max.v,stuck_at,0,5063,0,701,5764
500-1000,500,1000,memctrl.v,memctrl.v,bridging,884,81353,0,0,82237
500-1000,500,1000,memctrl.v,memctrl.v,clean,0,81353,0,0,81353
500-1000,500,1000,memctrl.v,memctrl.v,glitch,0,81353,884,0,82237
500-1000,500,1000,memctrl.v,memctrl.v,stuck_at,0,81353,0,884,82237
500-1000,500,1000,multiplier.v,multiplier.v,bridging,920,42974,0,0,43894
500-1000,500,1000,multiplier.v,multiplier.v,clean,0,42974,0,0,42974
500-1000,500,1000,multiplier.v,multiplier.v,glitch,0,42974,920,0,43894
500-1000,500,1000,multiplier.v,multiplier.v,stuck_at,0,42974,0,920,43894
500-1000,500,1000,router.v,router.v,bridging,518,365,0,0,883
500-1000,500,1000,router.v,router.v,clean,0,365,0,0,365
500-1000,500,1000,router.v,router.v,glitch,0,365,362,0,727
500-1000,500,1000,router.v,router.v,stuck_at,0,365,0,362,727
500-1000,500,1000,sin.v,sin.v,bridging,520,7655,0,0,8175
500-1000,500,1000,sin.v,sin.v,clean,0,7655,0,0,7655
500-1000,500,1000,sin.v,sin.v,glitch,0,7655,520,0,8175
500-1000,500,1000,sin.v,sin.v,stuck_at,0,7655,0,520,8175
500-1000,500,1000,sqrt.v,sqrt.v,bridging,946,36797,0,0,37743
500-1000,500,1000,sqrt.v,sqrt.v,clean,0,36797,0,0,36797
500-1000,500,1000,sqrt.v,sqrt.v,glitch,0,36797,946,0,37743
500-1000,500,1000,sqrt.v,sqrt.v,stuck_at,0,36797,0,946,37743
500-1000,500,1000,square.v,square.v,bridging,697,35262,0,0,35959
500-1000,500,1000,square.v,square.v,clean,0,35262,0,0,35262
500-1000,500,1000,square.v,square.v,glitch,0,35262,697,0,35959
500-1000,500,1000,square.v,square.v,stuck_at,0,35262,0,697,35959
500-1000,500,1000,voter.v,voter.v,bridging,919,25993,0,0,26912
500-1000,500,1000,voter.v,voter.v,clean,0,25993,0,0,25993
500-1000,500,1000,voter.v,voter.v,glitch,0,25993,919,0,26912
500-1000,500,1000,voter.v,voter.v,stuck_at,0,25993,0,919,26912
