setting_label,netlist_file,netlist_file_norm,fault_type,bridging,clean,glitch,stuck_at,total_nodes
baseline_original,c7552.v,c7552.v,bridging,150,2331,0,0,2481
baseline_original,c7552.v,c7552.v,clean,0,2331,0,0,2331
baseline_original,c7552.v,c7552.v,glitch,0,2331,150,0,2481
baseline_original,c7552.v,c7552.v,stuck_at,0,2331,0,150,2481
baseline_original,c880.v,c880.v,bridging,38,323,0,0,361
baseline_original,c880.v,c880.v,clean,0,323,0,0,323
baseline_original,c880.v,c880.v,glitch,0,323,38,0,361
baseline_original,c880.v,c880.v,stuck_at,0,323,0,38,361
baseline_original,cavlc.v,cavlc.v,bridging,100,1241,0,0,1341
baseline_original,cavlc.v,cavlc.v,clean,0,1241,0,0,1241
baseline_original,cavlc.v,cavlc.v,glitch,0,1241,100,0,1341
baseline_original,cavlc.v,cavlc.v,stuck_at,0,1241,0,100,1341
baseline_original,ctrl.v,ctrl.v,bridging,32,306,0,0,338
baseline_original,ctrl.v,ctrl.v,clean,0,306,0,0,306
baseline_original,ctrl.v,ctrl.v,glitch,0,306,32,0,338
baseline_original,ctrl.v,ctrl.v,stuck_at,0,306,0,32,338
baseline_original,dec.v,dec.v,bridging,32,312,0,0,344
baseline_original,dec.v,dec.v,clean,0,312,0,0,312
baseline_original,dec.v,dec.v,glitch,0,312,32,0,344
baseline_original,dec.v,dec.v,stuck_at,0,312,0,32,344
baseline_original,div.v,div.v,bridging,100,100985,0,0,101085
baseline_original,div.v,div.v,clean,0,100985,0,0,100985
baseline_original,div.v,div.v,glitch,0,100985,100,0,101085
baseline_original,div.v,div.v,stuck_at,0,100985,0,100,101085
baseline_original,i2c.v,i2c.v,bridging,115,2022,0,0,2137
baseline_original,i2c.v,i2c.v,clean,0,2022,0,0,2022
baseline_original,i2c.v,i2c.v,glitch,0,2022,115,0,2137
baseline_original,i2c.v,i2c.v,stuck_at,0,2022,0,115,2137
baseline_original,int2float.v,int2float.v,bridging,41,407,0,0,448
baseline_original,int2float.v,int2float.v,clean,0,407,0,0,407
baseline_original,int2float.v,int2float.v,glitch,0,407,41,0,448
baseline_original,int2float.v,int2float.v,stuck_at,0,407,0,41,448
baseline_original,log2.v,log2.v,bridging,100,46746,0,0,46846
baseline_original,log2.v,log2.v,clean,0,46746,0,0,46746
baseline_original,log2.v,log2.v,glitch,0,46746,100,0,46846
baseline_original,log2.v,log2.v,stuck_at,0,46746,0,100,46846
baseline_original,max.v,max.v,bridging,100,5063,0,0,5163
baseline_original,max.v,max.v,clean,0,5063,0,0,5063
baseline_original,max.v,max.v,glitch,0,5063,100,0,5163
baseline_original,max.v,max.v,stuck_at,0,5063,0,100,5163
baseline_original,memctrl.v,memctrl.v,bridging,335,81353,0,0,81688
baseline_original,memctrl.v,memctrl.v,clean,0,81353,0,0,81353
baseline_original,memctrl.v,memctrl.v,glitch,0,81353,335,0,81688
baseline_original,memctrl.v,memctrl.v,stuck_at,0,81353,0,335,81688
baseline_original,multiplier.v,multiplier.v,bridging,100,42974,0,0,43074
baseline_original,multiplier.v,multiplier.v,clean,0,42974,0,0,42974
baseline_original,multiplier.v,multiplier.v,glitch,0,42974,100,0,43074
baseline_original,multiplier.v,multiplier.v,stuck_at,0,42974,0,100,43074
baseline_original,router.v,router.v,bridging,72,365,0,0,437
baseline_original,router.v,router.v,clean,0,365,0,0,365
baseline_original,router.v,router.v,glitch,0,365,72,0,437
baseline_original,router.v,router.v,stuck_at,0,365,0,70,435
baseline_original,sin.v,sin.v,bridging,100,7655,0,0,7755
baseline_original,sin.v,sin.v,clean,0,7655,0,0,7655
baseline_original,sin.v,sin.v,glitch,0,7655,100,0,7755
baseline_original,sin.v,sin.v,stuck_at,0,7655,0,100,7755
baseline_original,sqrt.v,sqrt.v,bridging,100,36797,0,0,36897
baseline_original,sqrt.v,sqrt.v,clean,0,36797,0,0,36797
baseline_original,sqrt.v,sqrt.v,glitch,0,36797,100,0,36897
baseline_original,sqrt.v,sqrt.v,stuck_at,0,36797,0,100,36897
baseline_original,square.v,square.v,bridging,102,35262,0,0,35364
baseline_original,square.v,square.v,clean,0,35262,0,0,35262
baseline_original,square.v,square.v,glitch,0,35262,102,0,35364
baseline_original,square.v,square.v,stuck_at,0,35262,0,102,35364
baseline_original,voter.v,voter.v,bridging,100,25993,0,0,26093
baseline_original,voter.v,voter.v,clean,0,25993,0,0,25993
baseline_original,voter.v,voter.v,glitch,0,25993,100,0,26093
baseline_original,voter.v,voter.v,stuck_at,0,25993,0,100,26093
